x,y,u,v,p
0.00056858,1.5465e-05,-2.3033e-07,2.4788e-05,-0.00061216
0.00057678,1.5688e-05,-2.6169e-07,2.9685e-05,-0.00061269
0.00058591,1.5936e-05,-2.946e-07,3.5371e-05,-0.00061323
0.00059608,1.6213e-05,-3.3078e-07,4.1918e-05,-0.00061378
0.00060741,1.6521e-05,-3.7385e-07,4.9387e-05,-0.00061433
0.00062003,1.6864e-05,-4.2752e-07,5.7827e-05,-0.00061487
0.00063409,1.7247e-05,-4.976e-07,6.7272e-05,-0.00061539
0.00064975,1.7673e-05,-5.9465e-07,7.7746e-05,-0.00061588
0.0006672,1.8147e-05,-7.2814e-07,8.9257e-05,-0.00061635
0.00068664,1.8676e-05,-9.085e-07,0.00010181,-0.0006168
0.00070829,1.9265e-05,-1.1503e-06,0.00011539,-0.00061724
0.00073241,1.9921e-05,-1.4692e-06,0.00013001,-0.00061769
0.00075927,2.0651e-05,-1.8833e-06,0.00014567,-0.00061816
0.0007892,2.1465e-05,-2.4141e-06,0.00016241,-0.00061866
0.00082254,2.2372e-05,-3.0871e-06,0.00018029,-0.00061924
0.00085968,2.3382e-05,-3.9345e-06,0.00019938,-0.00061989
0.00090106,2.4508e-05,-4.9987e-06,0.00021981,-0.00062065
0.00094715,2.5761e-05,-6.3325e-06,0.00024173,-0.00062155
0.00099849,2.7158e-05,-7.9989e-06,0.00026534,-0.0006226
0.0010557,2.8713e-05,-1.0064e-05,0.00029085,-0.00062381
0.0011194,3.0446e-05,-1.2584e-05,0.0003185,-0.00062515
0.0011904,3.2377e-05,-1.557e-05,0.00034852,-0.00062651
0.0012694,3.4527e-05,-1.8941e-05,0.0003811,-0.00062773
0.0013575,3.6923e-05,-2.2474e-05,0.00041632,-0.00062849
0.0014556,3.9591e-05,-2.5737e-05,0.00045419,-0.00062841
0.0015649,4.2564e-05,-2.8011e-05,0.00049455,-0.00062702
0.0016867,4.5876e-05,-2.8271e-05,0.00053707,-0.00062379
0.0018223,4.9564e-05,-2.5175e-05,0.00058121,-0.00061812
0.0019734,5.3674e-05,-1.7291e-05,0.00062631,-0.00060956
0.0021417,5.8252e-05,-2.8943e-06,0.00067169,-0.00059782
0.0023292,6.3351e-05,1.9616e-05,0.00071669,-0.00058288
0.002538,6.9032e-05,5.2406e-05,0.00076042,-0.00056467
0.0027707,7.536e-05,9.6191e-05,0.00080254,-0.00054363
0.0030299,8.2409e-05,0.00015401,0.00084171,-0.00051975
0.0033186,9.0262e-05,0.00022492,0.00087817,-0.00049367
0.0036402,9.901e-05,0.00031236,0.00090716,-0.00046466
0.0039985,0.00010876,0.00040793,0.00092204,-0.00043585
0.00049925,2.7422e-05,0.0,0.0,-0.00060044
0.00049961,2.7442e-05,-1.9079e-10,9.8911e-11,-0.00060046
0.0005,2.7464e-05,-2.4356e-10,1.4429e-10,-0.00060049
0.00050045,2.7488e-05,-4.3745e-10,1.7912e-10,-0.00060051
0.00050094,2.7515e-05,-7.1343e-10,2.2635e-10,-0.00060053
0.00050149,2.7546e-05,-1.0695e-09,2.8724e-10,-0.00060056
0.00050211,2.7579e-05,-1.5509e-09,3.6436e-10,-0.0006006
0.00050279,2.7617e-05,-2.2084e-09,4.6204e-10,-0.00060064
0.00050355,2.7659e-05,-3.1051e-09,5.8569e-10,-0.00060069
0.0005044,2.7705e-05,-4.3264e-09,7.4184e-10,-0.00060075
0.00050535,2.7757e-05,-5.988e-09,9.3835e-10,-0.00060083
0.0005064,2.7815e-05,-8.2457e-09,1.1845e-09,-0.00060091
0.00050757,2.788e-05,-1.1308e-08,1.491e-09,-0.00060102
0.00050888,2.7951e-05,-1.5453e-08,1.8698e-09,-0.00060115
0.00051034,2.8031e-05,-2.1048e-08,2.3335e-09,-0.0006013
0.00051196,2.812e-05,-2.8574e-08,2.8942e-09,-0.00060148
0.00051376,2.822e-05,-3.8657e-08,3.5621e-09,-0.00060169
0.00051578,2.833e-05,-5.21e-08,4.343e-09,-0.00060195
0.00051802,2.8453e-05,-6.9913e-08,5.235e-09,-0.00060225
0.00052052,2.859e-05,-9.3351e-08,6.2249e-09,-0.0006026
0.0005233,2.8743e-05,-1.2393e-07,7.2848e-09,-0.00060302
0.0005264,2.8913e-05,-1.6342e-07,8.3702e-09,-0.0006035
0.00052985,2.9103e-05,-2.1382e-07,9.4231e-09,-0.00060405
0.0005337,2.9314e-05,-2.7721e-07,1.039e-08,-0.00060468
0.00053798,2.955e-05,-3.5588e-07,1.1275e-08,-0.00060538
0.00054275,2.9812e-05,-4.5181e-07,1.2203e-08,-0.00060616
0.00054807,3.0104e-05,-5.6588e-07,1.3443e-08,-0.00060702
0.00055399,3.0429e-05,-6.9853e-07,1.542e-08,-0.00060794
0.00056059,3.0791e-05,-8.4939e-07,1.8664e-08,-0.0006089
0.00056794,3.1195e-05,-1.0162e-06,2.3739e-08,-0.00060989
0.00057612,3.1645e-05,-1.1959e-06,3.1448e-08,-0.00061089
0.00058524,3.2146e-05,-1.3846e-06,4.3046e-08,-0.00061188
0.0005954,3.2704e-05,-1.5777e-06,5.9805e-08,-0.00061285
0.00060672,3.3325e-05,-1.7719e-06,8.2562e-08,-0.00061378
0.00061933,3.4018e-05,-1.9654e-06,1.1229e-07,-0.00061466
0.00063337,3.4789e-05,-2.1593e-06,1.5056e-07,-0.00061547
0.00064902,3.5648e-05,-2.3578e-06,1.9847e-07,-0.00061623
0.00066644,3.6606e-05,-2.5684e-06,2.5622e-07,-0.00061692
0.00068586,3.7672e-05,-2.8027e-06,3.2423e-07,-0.00061758
0.00070748,3.886e-05,-3.0766e-06,4.0341e-07,-0.0006182
0.00073157,4.0183e-05,-3.4095e-06,4.9481e-07,-0.00061881
0.00075841,4.1657e-05,-3.8247e-06,6.0001e-07,-0.00061942
0.00078831,4.3299e-05,-4.3508e-06,7.2131e-07,-0.00062008
0.00082161,4.5129e-05,-5.0216e-06,8.6226e-07,-0.0006208
0.00085871,4.7166e-05,-5.8791e-06,1.0278e-06,-0.0006216
0.00090004,4.9436e-05,-6.9777e-06,1.2236e-06,-0.00062253
0.00094607,5.1965e-05,-8.3821e-06,1.4539e-06,-0.00062361
0.00099736,5.4782e-05,-1.0162e-05,1.7183e-06,-0.00062486
0.0010545,5.792e-05,-1.2381e-05,2.0064e-06,-0.00062626
0.0011181,6.1415e-05,-1.5064e-05,2.2901e-06,-0.00062775
0.001189,6.5309e-05,-1.8155e-05,2.5171e-06,-0.00062919
0.001268,6.9647e-05,-2.1458e-05,2.6075e-06,-0.00063034
0.001356,7.4479e-05,-2.4584e-05,2.4494e-06,-0.00063083
0.001454,7.9862e-05,-2.6891e-05,1.9038e-06,-0.00063019
0.0015631,8.5859e-05,-2.7438e-05,8.2332e-07,-0.00062792
0.0016848,9.2539e-05,-2.4978e-05,-9.2176e-07,-0.00062346
0.0018202,9.998e-05,-1.801e-05,-3.4161e-06,-0.00061626
0.0019711,0.00010827,-4.9914e-06,-6.703e-06,-0.00060592
0.0021393,0.0001175,1.5802e-05,-1.0797e-05,-0.00059225
0.0023265,0.00012779,4.5897e-05,-1.5674e-05,-0.0005753
0.0025352,0.00013925,8.7154e-05,-2.1269e-05,-0.00055512
0.0027676,0.00015201,0.00014006,-2.7447e-05,-0.00053224
0.0030264,0.00016623,0.00020728,-3.4318e-05,-0.00050661
0.0033148,0.00018207,0.00028629,-4.0904e-05,-0.00047933
0.0036361,0.00019972,0.00038393,-4.8433e-05,-0.00044913
0.003994,0.00021938,0.00049039,-5.4366e-05,-0.00041946
0.00049828,4.1476e-05,0.0,0.0,-0.000609
0.00049863,4.1506e-05,-1.1588e-10,1.4551e-09,-0.000609
0.00049903,4.1539e-05,-1.3567e-10,2.1067e-09,-0.00060902
0.00049948,4.1576e-05,-1.4236e-10,2.6108e-09,-0.00060904
0.00049997,4.1617e-05,-1.487e-10,3.2345e-09,-0.00060906
0.00050052,4.1663e-05,-1.5255e-10,4.0056e-09,-0.00060908
0.00050113,4.1714e-05,-1.4916e-10,4.9583e-09,-0.0006091
0.00050181,4.1771e-05,-1.3375e-10,6.1343e-09,-0.00060913
0.00050257,4.1834e-05,-9.9733e-11,7.5841e-09,-0.00060916
0.00050342,4.1904e-05,-3.7523e-11,9.3689e-09,-0.00060919
0.00050437,4.1983e-05,6.6365e-11,1.1562e-08,-0.00060922
0.00050542,4.2071e-05,2.3048e-10,1.4252e-08,-0.00060926
0.00050659,4.2168e-05,4.7986e-10,1.7543e-08,-0.00060931
0.00050789,4.2277e-05,8.4751e-10,2.1554e-08,-0.00060936
0.00050934,4.2398e-05,1.3757e-09,2.6427e-08,-0.00060941
0.00051096,4.2532e-05,2.1168e-09,3.2318e-08,-0.00060947
0.00051277,4.2682e-05,3.1317e-09,3.94e-08,-0.00060954
0.00051477,4.285e-05,4.4859e-09,4.7857e-08,-0.00060962
0.00051701,4.3036e-05,6.2395e-09,5.7874e-08,-0.00060971
0.0005195,4.3243e-05,8.4272e-09,6.9625e-08,-0.00060981
0.00052228,4.3474e-05,1.1025e-08,8.3254e-08,-0.00060993
0.00052537,4.3732e-05,1.3895e-08,9.8849e-08,-0.00061006
0.00052882,4.4019e-05,1.6725e-08,1.1641e-07,-0.00061022
0.00053266,4.4338e-05,1.8946e-08,1.3584e-07,-0.00061041
0.00053693,4.4694e-05,1.94e-08,1.5688e-07,-0.00061064
0.0005417,4.5091e-05,1.6379e-08,1.7908e-07,-0.00061092
0.000547,4.5532e-05,8.0255e-09,2.0188e-07,-0.00061126
0.00055291,4.6024e-05,-8.2892e-09,2.2475e-07,-0.00061167
0.0005595,4.6572e-05,-3.5803e-08,2.472e-07,-0.00061215
0.00056683,4.7183e-05,-7.7606e-08,2.6891e-07,-0.00061269
0.000575,4.7863e-05,-1.38e-07,2.8997e-07,-0.0006133
0.00058411,4.8621e-05,-2.2085e-07,3.1108e-07,-0.00061397
0.00059425,4.9465e-05,-3.275e-07,3.3358e-07,-0.0006147
0.00060554,5.0405e-05,-4.5953e-07,3.5931e-07,-0.00061547
0.00061812,5.1452e-05,-6.1895e-07,3.9077e-07,-0.00061626
0.00063214,5.2619e-05,-8.0686e-07,4.3111e-07,-0.00061706
0.00064775,5.3919e-05,-1.0244e-06,4.8339e-07,-0.00061786
0.00066515,5.5366e-05,-1.2746e-06,5.5032e-07,-0.00061866
0.00068452,5.6979e-05,-1.5634e-06,6.3459e-07,-0.00061945
0.00070611,5.8776e-05,-1.9006e-06,7.3895e-07,-0.00062024
0.00073015,6.0777e-05,-2.3009e-06,8.6628e-07,-0.00062105
0.00075694,6.3007e-05,-2.7845e-06,1.02e-06,-0.00062189
0.00078677,6.5491e-05,-3.3789e-06,1.2046e-06,-0.00062278
0.00082001,6.8257e-05,-4.1212e-06,1.4259e-06,-0.00062377
0.00085704,7.1339e-05,-5.0596e-06,1.6918e-06,-0.00062487
0.00089829,7.4773e-05,-6.254e-06,2.0099e-06,-0.00062614
0.00094423,7.8597e-05,-7.7721e-06,2.3838e-06,-0.00062758
0.00099542,8.2858e-05,-9.6759e-06,2.8066e-06,-0.0006292
